slug,title,cover,existing_inline_image_count,audit_status,video_url
best-wineries-to-visit-by-train-and-balloon-in-tuscany-this-autumn,Best Tuscan Wineries to Visit by Train this autumn,/images/posts/best-wineries-to-visit-by-train-and-balloon-in-tuscany-this-autumn.jpg,1,review/add images,
bari-beyond-polignano-a-mare-and-alberobello-by-train,Bari & Beyond: Polignano a Mare and Alberobello by Train,/images/posts/bari-beyond-polignano-a-mare-and-alberobello-by-train.jpg,0,needs images,
salerno-the-southern-amalfi-coast-a-local-alternative,"Salerno & the Hidden Amalfi Coast: Vietri, Cetara and Erchie",/images/posts/salerno-the-southern-amalfi-coast-a-local-alternative.jpg,0,needs images,
truffle-brunello-weekend-from-florence-san-miniato-montalcino-by-train,Truffle & Brunello Weekend from Florence: San Miniato & Montalcino by Train,/images/posts/truffle-brunello-weekend-from-florence-san-miniato-montalcino-by-train.jpg,3,generally sufficient,
castiglion-fiorentino-cortona-a-tuscan-day-trip-by-train-from-florence,Castiglion Fiorentino & Cortona: A Tuscan Day Trip by Train from Florence,/images/posts/castiglion-fiorentino-cortona-a-tuscan-day-trip-by-train-from-florence.jpg,2,generally sufficient,
murano-burano-torcello-venice-s-island-day-trip,"Murano, Burano & Torcello: Venice’s Island Day Trip",/images/posts/murano-burano-torcello-venice-s-island-day-trip.jpg,0,needs images,
walking-the-cinque-terre-portofino-trails-trains-coastline,"Walking the Cinque Terre & Portofino: Trails, Trains & Coastline",/images/posts/walking-the-cinque-terre-portofino-trails-trains-coastline.jpg,1,review/add images,
day-trip-to-san-marino-europe-s-oldest-republic-by-train-bus,Day Trip to San Marino: Europe’s Oldest Republic by Train & Bus,/images/posts/day-trip-to-san-marino-europe-s-oldest-republic-by-train-bus.jpg,0,needs images,
exploring-italy-s-adriatic-coast-rimini-pesaro-ancona-by-train,"Exploring Italy’s Adriatic Coast: Rimini, Pesaro & Ancona by Train",/images/posts/exploring-italy-s-adriatic-coast-rimini-pesaro-ancona-by-train.jpg,0,needs images,
walking-in-the-crete-senesi-the-gladiator-trail-from-pienza,Walking in the Crete Senesi: The Gladiator Trail from Pienza,/images/posts/walking-in-the-crete-senesi-the-gladiator-trail-from-pienza.jpg,1,review/add images,
a-weekend-in-palermo-sicily-s-capital-of-culture-and-cuisine,A Weekend in Palermo: Sicily’s Capital of Culture and Cuisine,/images/posts/a-weekend-in-palermo-sicily-s-capital-of-culture-and-cuisine.jpg,2,generally sufficient,
barolo-the-vineyards-of-the-langhe-a-wine-lover-s-day-out-by-train,Barolo & the Vineyards of the Langhe: A Wine Lover’s Day Out by Train,/images/posts/barolo-the-vineyards-of-the-langhe-a-wine-lover-s-day-out-by-train.jpg,1,review/add images,
truffle-season-in-italy-white-vs-black-where-to-hunt-taste-in-2025,"Truffle Season in Italy: White vs Black, Where to Hunt & Taste in 2025",/images/posts/truffle-season-in-italy-white-vs-black-where-to-hunt-taste-in-2025.jpg,2,generally sufficient,
tuscany-umbria-autumn-food-festivals-2025-chestnuts-chocolate-truffles-by-train,"Tuscany & Umbria Autumn Food Festivals 2025: Chestnuts, Chocolate & Truffles by Train",/images/posts/tuscany-umbria-autumn-food-festivals-2025-chestnuts-chocolate-truffles-by-train.jpg,1,review/add images,
venice-in-autumn-at-the-biennale-2025-where-to-eat-stay-near-the-pavilions,Venice in Autumn at the Biennale 2025: Where to Eat & Stay Near the Pavilions,/images/posts/venice-in-autumn-at-the-biennale-2025-where-to-eat-stay-near-the-pavilions.jpg,3,generally sufficient,
a-weekend-in-gaeta-beaches-history-seafood-south-of-rome,"A Weekend in Gaeta: Beaches, History & Seafood South of Rome",/images/posts/a-weekend-in-gaeta-beaches-history-seafood-south-of-rome.jpg,2,generally sufficient,
autumn-in-rome-off-the-beaten-track-weekend,Autumn in Rome: Off the Beaten Track Weekend,/images/posts/autumn-in-rome-off-the-beaten-track-weekend.jpg,2,generally sufficient,
roman-ruins-by-train-from-naples-pompeii-herculaneum-beyond,"Roman Ruins by Train from Naples: Pompeii, Herculaneum & Beyond",/images/posts/roman-ruins-by-train-from-naples-pompeii-herculaneum-beyond.jpg,4,generally sufficient,
a-veneto-journey-by-train-wines-villas-timeless-towns,"A Veneto Journey by Train: Wines, Villas & Timeless Towns",/images/posts/a-veneto-journey-by-train-wines-villas-timeless-towns.jpg,1,review/add images,
viterbo-day-trip-by-train-from-rome-thermal-baths-medieval-streets,Viterbo Day Trip by Train from Rome: Thermal Baths & Medieval Streets,/images/posts/viterbo-day-trip-by-train-from-rome-thermal-baths-medieval-streets.jpg,0,needs images,
caserta-palace-by-train-day-trip-from-naples-to-the-reggia,Caserta Palace by Train: Day Trip from Naples to the Reggia,/images/posts/caserta-palace-by-train-day-trip-from-naples-to-the-reggia.jpg,1,review/add images,
porto-ercole-weekend-getaway-beaches-forts-from-rome-by-train-1,Porto Ercole Weekend Getaway: Beaches & Forts from Rome by Train,/images/posts/porto-ercole-weekend-getaway-beaches-forts-from-rome-by-train-1.jpg,0,needs images,
umbria-by-train-perugia-assisi-spoleto-in-one-trip,"Umbria by Train: Perugia, Assisi & Spoleto in One Trip",/images/posts/umbria-by-train-perugia-assisi-spoleto-in-one-trip.jpg,2,generally sufficient,
capri-ischia-procida-islands-of-the-bay-of-naples-by-ferry,"Capri, Ischia & Procida: Islands of the Bay of Naples by Ferry",/images/posts/capri-ischia-procida-islands-of-the-bay-of-naples-by-ferry.jpg,0,needs images,
from-pisa-to-elba-by-train-ferry-tuscany-s-coastal-escape,From Pisa to Elba by Train & Ferry: Tuscany’s Coastal Escape,/images/posts/from-pisa-to-elba-by-train-ferry-tuscany-s-coastal-escape.jpg,0,needs images,
bergamo-day-trip-by-train-from-milan-hilltop-views-lombard-flavours,Bergamo Day Trip by Train from Milan: Hilltop Views & Lombard Flavours,/images/posts/bergamo-day-trip-by-train-from-milan-hilltop-views-lombard-flavours.jpg,0,needs images,
lake-trasimeno-by-train-castiglione-del-lago-island-adventures,Lake Trasimeno by Train: Castiglione del Lago & Island Adventures,/images/posts/lake-trasimeno-by-train-castiglione-del-lago-island-adventures.jpg,2,generally sufficient,
pisa-day-trip-by-train-from-florence-tower-squares-riverside-walks,"Pisa Day Trip by Train from Florence: Tower, Squares & Riverside Walks",/images/posts/pisa-day-trip-by-train-from-florence-tower-squares-riverside-walks.jpg,1,review/add images,
orvieto-day-trip-by-train-medieval-charm-between-rome-florence,Orvieto Day Trip by Train: Medieval Charm Between Rome & Florence,/images/posts/orvieto-day-trip-by-train-medieval-charm-between-rome-florence.jpg,1,review/add images,
porto-ercole-weekend-getaway-beaches-forts-from-rome-by-train,Porto Ercole Weekend Getaway: Beaches & Forts from Rome by Train,/images/posts/porto-ercole-weekend-getaway-beaches-forts-from-rome-by-train.jpg,0,needs images,
piedmont-wine-day-trip-asti-alba-by-train-from-turin,Piedmont Wine Day Trip: Asti & Alba by Train from Turin,/images/posts/piedmont-wine-day-trip-asti-alba-by-train-from-turin.jpg,0,needs images,
prato-day-trip-by-train-from-florence-art-textiles-tuscan-flavours,"Prato Day Trip by Train from Florence: Art, Textiles & Tuscan Flavours",/images/posts/prato-day-trip-by-train-from-florence-art-textiles-tuscan-flavours.jpg,1,review/add images,
ostia-antica-day-trip-ancient-roman-port-coast-by-train-from-rome,Ostia Antica Day Trip: Ancient Roman Port & Coast by Train from Rome,/images/posts/ostia-antica-day-trip-ancient-roman-port-coast-by-train-from-rome.jpg,1,review/add images,
cinque-terre-in-september-travel-by-train-for-fewer-crowds-perfect-weather,Cinque Terre in September: Travel by Train for Fewer Crowds & Perfect Weather,/images/posts/cinque-terre-in-september-travel-by-train-for-fewer-crowds-perfect-weather.jpg,0,needs images,
escape-the-amalfi-coast-crowds-coastal-walks-punta-campanella-by-train-bus,Escape the Amalfi Coast Crowds: Coastal Walks & Punta Campanella by Train & Bus,/images/posts/escape-the-amalfi-coast-crowds-coastal-walks-punta-campanella-by-train-bus.jpg,1,review/add images,
lake-maggiore-day-trip-how-to-visit-stresa-the-borromean-islands-by-train,Lake Maggiore Day Trip: How to Visit Stresa & the Borromean Islands by Train,/images/posts/lake-maggiore-day-trip-how-to-visit-stresa-the-borromean-islands-by-train.jpg,0,needs images,
bologna-foodie-day-trip-the-best-food-markets-by-train-from-milan-or-florence,Bologna Foodie Day Trip: The Best Food & Markets by Train from Milan or Florence,/images/posts/bologna-foodie-day-trip-the-best-food-markets-by-train-from-milan-or-florence.jpg,2,generally sufficient,
paestum-day-trip-ancient-greek-temples-mozzarella-farms-by-train-from-salerno,Paestum Day Trip: Ancient Greek Temples & Mozzarella Farms by Train from Salerno,/images/posts/paestum-day-trip-ancient-greek-temples-mozzarella-farms-by-train-from-salerno.jpg,1,review/add images,
summer-in-rome-hidden-gems-cool-escapes,Summer in Rome: Hidden Gems & Cool Escapes!,/images/posts/summer-in-rome-hidden-gems-cool-escapes.jpg,1,review/add images,
a-foodie-train-trip-from-florence-truffles-wine-cheese-in-the-heart-of-tuscany,"A Foodie Train Trip from Florence – Truffles, Wine & Cheese in the Heart of Tuscany",/images/posts/a-foodie-train-trip-from-florence-truffles-wine-cheese-in-the-heart-of-tuscany.jpg,1,review/add images,
hidden-day-trips-from-venice-by-train-explore-the-veneto-beyond-the-crowds,Hidden Day Trips from Venice by Train – Explore the Veneto this Autumn!,/images/posts/hidden-day-trips-from-venice-by-train-explore-the-veneto-beyond-the-crowds.jpg,0,needs images,
secret-corners-of-florence-where-to-escape-the-crowds-this-summer,Secret Corners of Florence to discover this Autumn!,/images/posts/secret-corners-of-florence-where-to-escape-the-crowds-this-summer.jpg,1,review/add images,
24-hours-in-turin-by-train-an-elegant-overnight-itinerary-in-italy-s-most-underrated-city,24 Hours in Turin by Train – An Elegant Overnight Itinerary in Italy’s Most Underrated City,/images/posts/24-hours-in-turin-by-train-an-elegant-overnight-itinerary-in-italy-s-most-underr.jpg,2,generally sufficient,
from-venice-to-rimini-by-rail-a-coastal-escape-via-ravenna-cesenatico,From Venice to Rimini by Rail – A Coastal Escape via Ravenna & Cesenatico,/images/posts/from-venice-to-rimini-by-rail-a-coastal-escape-via-ravenna-cesenatico.jpg,0,needs images,
milan-in-august-how-to-enjoy-the-city-when-everyone-else-leaves,Milan in August: How to Enjoy the City When Everyone Else Leaves,/images/posts/milan-in-august-how-to-enjoy-the-city-when-everyone-else-leaves.jpg,1,review/add images,
festivals-around-the-amalfi-coast-summer-highlights-by-train-ferry,Festivals Around the Amalfi Coast: Summer Highlights by Train & Ferry,/images/posts/festivals-around-the-amalfi-coast-summer-highlights-by-train-ferry.jpg,1,review/add images,
day-trips-from-milan-by-train-lakes-hill-towns-easy-escapes,"Day Trips from Milan by Train: Lakes, Hill Towns & Easy Escapes",/images/posts/day-trips-from-milan-by-train-lakes-hill-towns-easy-escapes.jpg,1,review/add images,
summer-day-trips-from-rome-hill-towns-lakes-wine-by-train,"Summer Day Trips from Rome: Hill Towns, Lakes & Wine by Train",/images/posts/summer-day-trips-from-rome-hill-towns-lakes-wine-by-train.jpg,1,review/add images,
summer-day-trips-from-naples-by-train-cool-escapes-hidden-gems,Summer Day Trips from Naples by Train: Cool Escapes & Hidden Gems,/images/posts/summer-day-trips-from-naples-by-train-cool-escapes-hidden-gems.jpg,1,review/add images,
discover-the-arezzo-antiques-fair-tuscany-s-best-kept-market-secret,Discover the Arezzo Antiques Fair: Tuscany’s Best-Kept Market Secret,/images/posts/discover-the-arezzo-antiques-fair-tuscany-s-best-kept-market-secret.jpg,1,review/add images,
5-must-visit-summer-food-markets-in-italy-all-accessible-by-train,5 Must-Visit Summer Food Markets in Italy (All Accessible by Train!),/images/posts/5-must-visit-summer-food-markets-in-italy-all-accessible-by-train.jpg,0,needs images,
summer-festivals-in-tuscany-umbria-july-august-all-reachable-by-train,Summer Festivals in Tuscany & Umbria (July–August) — All Reachable by Train!,/images/posts/summer-festivals-in-tuscany-umbria-july-august-all-reachable-by-train.jpg,1,review/add images,
why-summer-is-the-best-time-to-explore-tuscany-by-train,Why Summer Is the Best Time to Explore Tuscany by Train,/images/posts/why-summer-is-the-best-time-to-explore-tuscany-by-train.jpg,1,review/add images,
experiencing-the-palio-di-siena-by-train-what-to-know-before-you-go,Experiencing the Palio di Siena by Train: What to Know Before You Go,/images/posts/experiencing-the-palio-di-siena-by-train-what-to-know-before-you-go.jpg,1,review/add images,
summer-in-venice-what-to-do-if-you-missed-the-bezos-wedding-and-why-you-re-better-off,Summer in Venice: Away from the crowds!,/images/posts/summer-in-venice-what-to-do-if-you-missed-the-bezos-wedding-and-why-you-re-bette.jpg,1,review/add images,
madrid-to-siguenza-by-train-a-medieval-escape-into-the-heart-of-castile,Madrid to Sigüenza by Train: A Medieval Escape into the Heart of Castile,/images/posts/siguenza.jpg,0,needs images,
